,INF_ALL,TG,HU,RR,FG
2017-10-22,1.0,166.52380952380952,71.17460317460318,35.87301587301587,29.857142857142858
2017-10-29,1.0,171.26984126984127,56.84126984126984,1.3015873015873014,24.77777777777778
2017-11-05,10.0,148.47619047619048,71.4920634920635,28.07936507936508,30.380952380952383
2017-11-12,5.0,109.46031746031746,63.15873015873016,10.444444444444445,35.952380952380956
2017-11-19,22.0,104.07936507936509,58.3015873015873,0.1111111111111111,22.555555555555557
2017-11-26,39.0,116.9047619047619,59.20634920634921,5.317460317460317,26.746031746031747
2017-12-03,30.0,63.460317460317455,65.43386243386243,34.0,31.682539682539684
2017-12-10,132.0,80.20634920634922,68.9047619047619,28.619047619047617,27.57142857142857
2017-12-17,226.0,79.33333333333333,71.04761904761905,17.095238095238095,36.2063492063492
2017-12-24,189.0,78.22222222222223,70.68253968253968,2.015873015873016,25.174603174603174
2017-12-31,222.0,99.5079365079365,73.66666666666667,25.92063492063492,43.19047619047619
2018-01-07,446.0,101.57142857142857,74.31746031746032,61.41269841269842,42.698412698412696
2018-01-14,469.0,61.8095238095238,75.42857142857143,25.49206349206349,33.492063492063494
2018-01-21,385.0,97.9047619047619,69.07936507936508,7.0476190476190474,34.682539682539684
2018-01-28,334.0,89.60317460317461,72.39682539682539,22.03174603174603,36.14285714285714
2018-02-04,238.0,70.28571428571428,69.74603174603175,35.22222222222222,32.17460317460317
2018-02-11,238.0,48.65079365079365,68.96825396825396,27.841269841269842,38.42857142857142
2018-02-18,176.0,93.84126984126983,70.12169312169311,11.142857142857142,36.0
2018-02-25,106.0,74.14285714285714,59.0,8.539682539682538,35.79365079365079
2018-03-04,94.0,84.53968253968254,74.52380952380953,110.1904761904762,39.523809523809526
2018-03-11,66.0,106.11111111111111,72.39682539682539,55.55555555555556,44.38095238095238
2018-03-18,41.0,101.65079365079366,70.28571428571428,36.0,42.39682539682539
2018-03-25,5.0,80.41269841269842,60.42857142857143,24.174603174603178,52.285714285714285
2018-04-01,11.0,117.22222222222223,57.666666666666664,10.142857142857142,41.698412698412696
2018-04-08,7.0,129.1746031746032,65.38095238095238,30.396825396825395,41.492063492063494
2018-04-15,5.0,104.17460317460318,73.20634920634922,75.87301587301587,36.333333333333336
2018-04-22,2.0,157.6190476190476,60.587301587301596,5.9523809523809526,33.17460317460317
2018-04-29,3.0,161.14285714285714,62.857142857142854,10.968253968253968,32.0
2018-05-06,1.0,133.34920634920636,57.333333333333336,7.904761904761904,35.79365079365079
2018-05-13,1.0,163.20634920634922,60.492063492063494,12.190476190476192,38.0
2018-05-20,0.0,164.984126984127,58.0952380952381,4.968253968253968,32.60317460317461
2018-05-27,0.0,182.46031746031747,68.09523809523809,45.85714285714286,25.349206349206348
2018-06-03,0.0,176.57142857142856,71.20634920634922,38.285714285714285,27.095238095238095
2018-06-10,0.0,177.23809523809524,67.3015873015873,21.92063492063492,33.0952380952381
2018-06-17,0.0,202.46031746031747,55.285714285714285,8.857142857142856,38.84126984126984
2018-06-24,0.0,239.85714285714286,50.55555555555556,1.4444444444444444,30.063492063492063
2018-07-01,1.0,236.46031746031744,58.12698412698413,11.07936507936508,30.492063492063494
2018-07-08,0.0,234.69841269841268,53.507936507936506,3.428571428571429,32.285714285714285
2018-07-15,0.0,245.83862433862436,54.77777777777778,18.158730158730158,30.9047619047619
2018-07-22,0.0,236.68253968253964,53.63492063492063,6.936507936507937,32.98412698412698
2018-07-29,0.0,249.0,52.507936507936506,2.6825396825396823,29.84126984126984
2018-08-05,0.0,275.2380952380952,46.682539682539684,0.3492063492063492,26.682539682539684
2018-08-12,0.0,253.3174603174603,52.79365079365079,15.666666666666666,32.42857142857143
2018-08-19,0.0,239.98412698412702,54.682539682539684,12.65079365079365,30.460317460317462
2018-08-26,0.0,246.30158730158732,50.26984126984127,0.9841269841269842,27.206349206349202
2018-09-02,0.0,247.71428571428572,55.714285714285715,3.507936507936508,26.476190476190474
2018-09-09,0.0,223.22222222222223,63.8095238095238,27.206349206349206,24.984126984126984
2018-09-16,0.0,228.84126984126982,62.55555555555556,11.317460317460318,21.492063492063494
2018-09-23,0.0,235.15873015873018,60.74603174603174,14.0,22.15873015873016
